region_name,region_population,avg_rainfall_mm,soil_quality_index,temperature_celsius,major_crop_type,crop_area_hectares,crop_yield_tonne,fertilizer_demand_kg,pesticide_demand_litre,seed_demand_kg,irrigation_need_index,market_price_index,agri_infrastructure_score,subsidy_level
Bihar - Urban District 1,15339,1181.0,47.4,26.0,Rice,30.0,174.64,4675.2,73.43,1059.1,59.2,113.5,35.6,56.4
Jammu & Kashmir - South District 2,16157,1597.9,62.5,29.7,Rice,30.0,227.99,3799.5,73.16,1320.8,56.1,92.7,72.0,41.3
Madhya Pradesh - Coastal District 3,38257,772.4,66.8,31.5,Rice,69.3,278.05,8210.7,108.82,2745.6,68.3,117.6,63.5,32.8
Ladakh - Urban District 4,15651,1233.3,78.2,25.3,Maize,38.1,254.06,3875.1,119.19,791.3,61.8,100.3,51.4,50.4
Bihar - South District 5,9519,1068.4,72.9,27.9,Rice,30.0,213.13,3208.0,81.28,1119.8,59.4,100.8,53.9,29.6
Manipur - South District 6,67021,1230.0,50.2,17.8,Rice,127.7,900.52,16858.5,344.49,5057.0,59.8,106.5,84.7,0.0
Arunachal Pradesh - Coastal District 7,15734,750.3,52.6,25.2,Rice,30.0,84.04,4337.3,53.73,1254.0,78.5,93.6,51.1,51.1
Arunachal Pradesh - Plains District 8,8635,439.1,41.1,29.3,Wheat,30.0,52.2,3495.7,35.07,1463.2,75.8,99.0,44.5,39.8
Manipur - North District 9,33713,1160.7,53.4,24.2,Wheat,53.7,257.43,5636.2,75.71,2826.0,77.3,95.1,92.6,10.1
Uttarakhand - Coastal District 10,17277,833.5,48.8,24.0,Rice,37.5,159.93,5660.9,55.67,1495.3,84.2,106.1,58.2,54.0
Telangana - Valley District 11,27886,1278.0,83.5,24.1,Maize,30.1,220.49,3274.2,98.05,547.7,54.3,116.5,35.2,17.7
Chhattisgarh - East District 12,9885,1270.5,56.1,26.7,Wheat,30.0,127.84,3559.3,47.09,1421.1,48.1,96.9,50.3,41.5
Rajasthan - Plains District 13,7424,1468.0,94.1,30.1,Rice,30.0,263.09,3209.6,84.81,1232.8,48.8,109.8,57.3,64.8
Telangana - Plains District 14,29253,642.7,48.9,27.0,Maize,40.1,122.35,5643.2,92.63,756.3,85.3,107.9,68.3,35.8
Meghalaya - Hills District 15,17269,1027.3,58.8,23.0,Maize,30.3,176.28,2952.2,87.87,580.4,66.1,103.8,52.1,30.9
Meghalaya - South District 16,10803,1274.8,43.4,31.0,Wheat,30.0,131.06,3762.8,38.55,1393.3,54.0,103.5,32.1,40.4
Arunachal Pradesh - Plains District 17,19593,1560.3,73.1,21.1,Maize,30.0,193.19,3483.5,85.78,624.0,30.7,117.7,39.2,47.1
Madhya Pradesh - North District 18,87388,1170.3,65.4,17.0,Rice,167.8,959.2,19434.1,338.91,6756.0,55.0,100.9,39.5,0.0
Punjab - West District 19,56678,1326.4,52.1,24.1,Rice,54.4,450.88,7790.1,133.36,2120.5,53.9,119.4,65.1,0.0
Puducherry - Plateau District 20,28811,1638.9,18.1,22.4,Rice,34.1,245.27,5464.9,83.64,1392.3,45.8,104.3,64.7,29.2
Tamil Nadu - Plains District 21,3078,1316.4,59.9,25.8,Rice,30.0,174.05,3645.3,71.15,1300.4,50.2,121.9,52.6,44.7
Telangana - West District 22,39927,1205.7,52.7,20.3,Wheat,53.5,365.08,5333.0,79.67,2660.8,61.3,115.7,50.8,0.0
Chhattisgarh - Delta District 23,68329,1174.6,59.2,28.8,Wheat,86.7,493.39,8528.2,142.02,4359.2,55.3,92.5,67.2,0.0
Tamil Nadu - East District 24,16403,852.8,68.4,18.0,Wheat,30.0,91.07,3452.9,45.44,1541.1,54.5,109.4,29.0,35.4
Goa - West District 25,7123,1029.6,39.5,24.2,Wheat,30.0,161.12,3761.1,54.93,1584.1,59.4,96.2,63.0,57.4
Gujarat - Urban District 26,129725,1177.8,38.3,30.3,Pulses,145.3,93.56,6580.9,88.06,4485.2,54.6,103.2,52.3,0.0
Bihar - Plateau District 27,19476,1654.8,78.0,28.9,Wheat,30.0,211.86,2871.5,48.68,1506.0,46.5,109.9,55.7,14.9
Tamil Nadu - Delta District 28,79402,907.7,59.4,26.4,Wheat,102.0,361.83,9625.9,133.81,4996.9,69.6,114.2,64.7,0.0
Himachal Pradesh - Plateau District 29,13915,715.7,89.4,30.4,Rice,32.7,147.57,3178.5,70.07,1460.3,74.8,111.5,57.3,37.8
Assam - Delta District 30,166543,1061.3,55.5,27.2,Maize,233.9,1492.34,30360.9,650.38,4906.3,75.5,93.5,100.0,0.0
Haryana - Delta District 31,30599,892.7,14.9,26.4,Maize,62.7,194.95,8733.8,158.56,1129.1,83.7,102.5,48.4,15.5
Rajasthan - Hills District 32,13846,412.1,51.4,29.3,Maize,30.0,129.51,4200.1,67.69,571.1,83.5,103.4,43.1,55.5
Uttar Pradesh - Delta District 33,30758,1284.3,69.7,30.0,Pulses,71.1,109.16,2746.2,48.87,1847.1,55.4,97.5,48.5,21.7
Tamil Nadu - Valley District 34,23867,498.6,18.8,25.7,Rice,36.0,64.44,5941.8,53.41,1482.7,69.8,103.9,46.6,17.4
Kerala - Rural District 35,434582,1630.4,71.3,30.7,Wheat,388.3,2163.27,43070.2,618.46,19388.9,51.0,108.4,100.0,0.0
Kerala - Hills District 36,68968,746.9,63.4,19.2,Rice,79.3,231.34,8919.7,116.19,3069.6,69.0,114.4,61.6,0.0
Ladakh - Coastal District 37,43211,1155.1,56.2,26.9,Wheat,76.4,470.88,8105.3,132.4,3679.3,52.4,93.5,43.7,6.4
Uttarakhand - East District 38,44764,802.1,63.7,24.2,Wheat,78.5,336.74,7411.7,128.85,3740.9,73.1,93.4,30.0,2.2
Uttarakhand - Coastal District 39,14822,1188.4,66.3,30.0,Rice,30.0,204.24,3790.4,66.46,1348.2,54.6,101.1,36.4,54.3
Assam - Valley District 40,44017,1933.0,22.2,31.6,Rice,88.8,743.89,13686.2,179.4,3381.6,21.3,116.8,45.1,5.5
Meghalaya - Urban District 41,26503,1029.6,69.1,23.6,Rice,36.5,175.68,4230.1,72.44,1434.7,59.3,91.9,47.5,36.6
Karnataka - South District 42,22887,532.2,76.6,30.0,Rice,56.7,190.86,6399.8,95.13,2230.8,87.5,104.3,46.3,12.8
Arunachal Pradesh - North District 43,53819,917.9,56.7,31.4,Wheat,82.1,323.5,8773.8,112.38,4328.5,56.3,117.5,36.9,10.6
Tripura - Plateau District 44,40792,434.5,77.4,19.2,Rice,30.0,160.61,4257.6,61.2,1176.0,99.7,112.3,38.6,40.6
Sikkim - Valley District 45,79862,412.8,18.8,28.5,Maize,82.7,153.07,11893.4,168.85,1793.2,86.7,112.4,67.5,0.0
Telangana - West District 46,45055,1522.0,60.5,28.0,Wheat,84.5,502.35,7177.7,155.05,4217.6,57.2,101.1,54.0,15.3
Uttar Pradesh - West District 47,32223,1213.4,59.3,26.9,Rice,63.7,438.65,7850.2,145.55,2325.7,53.6,113.8,40.7,10.3
Uttar Pradesh - Rural District 48,32922,1434.0,64.9,21.5,Wheat,39.9,253.44,3818.8,58.39,2011.8,41.7,100.8,79.5,13.3
Bihar - South District 49,15989,1036.9,48.4,22.2,Rice,30.0,143.66,4019.8,51.76,1206.7,64.5,118.1,56.5,13.4
Arunachal Pradesh - Plateau District 50,16912,1096.9,53.2,26.1,Wheat,30.0,171.03,2413.9,45.25,1390.1,55.6,106.2,28.5,38.7
Kerala - Urban District 51,20004,900.9,25.1,32.3,Rice,31.7,89.66,5306.9,57.0,1231.2,65.8,91.7,71.1,26.2
Gujarat - Delta District 52,4034,1113.5,55.1,31.2,Maize,30.0,174.5,3437.9,80.4,589.5,64.6,109.1,42.0,32.8
Ladakh - Rural District 53,55575,1204.5,83.8,24.8,Rice,140.8,1144.77,16239.7,359.86,5514.9,54.5,110.1,55.2,7.3
Goa - South District 54,93402,325.7,53.4,29.2,Wheat,174.0,456.81,18173.4,221.01,9131.0,87.5,112.6,61.8,0.0
Uttar Pradesh - Urban District 55,59738,790.9,62.5,28.2,Wheat,119.3,394.16,12875.4,222.67,6439.3,70.6,100.1,56.1,5.5
Arunachal Pradesh - Hills District 56,20221,1196.7,69.0,28.3,Rice,30.0,148.54,3491.0,58.07,1122.9,61.2,85.8,55.2,29.7
Uttarakhand - Coastal District 57,23027,1396.1,32.5,24.2,Maize,30.0,220.93,3367.7,123.92,656.6,61.7,97.0,28.8,33.6
Ladakh - Central District 58,23517,967.6,81.9,29.5,Rice,35.0,201.45,4043.1,90.6,1518.5,71.5,110.7,60.8,26.1
Karnataka - Coastal District 59,39720,1402.0,54.1,27.4,Wheat,44.9,255.14,4059.1,75.63,2212.0,56.8,107.8,33.7,49.0
Tamil Nadu - East District 60,123723,1112.8,28.2,27.4,Pulses,154.1,326.16,9413.2,92.28,4928.8,76.0,118.4,67.1,0.0
Delhi - Hills District 61,141423,955.8,63.0,30.8,Wheat,201.1,749.65,23880.2,282.94,10182.4,59.0,92.1,51.7,0.0
Telangana - East District 62,36897,848.6,59.8,31.5,Rice,57.1,331.02,8828.1,141.91,2423.2,69.7,107.8,43.8,19.1
Tamil Nadu - Plateau District 63,23328,1998.5,72.8,29.4,Wheat,33.1,278.3,2711.5,50.8,1545.6,44.7,108.7,43.1,24.2
Manipur - Urban District 64,107666,1497.4,74.1,18.1,Maize,121.5,1028.78,12169.7,493.07,2562.9,43.0,95.3,59.8,0.0
Andhra Pradesh - Plateau District 65,13231,1232.3,75.7,23.1,Pulses,30.0,64.96,1329.7,18.73,948.6,48.9,91.7,64.1,31.9
Jammu & Kashmir - Rural District 66,25336,1493.5,77.4,26.2,Wheat,36.7,165.98,3815.7,59.34,1955.8,40.4,93.9,47.4,31.2
Maharashtra - Coastal District 67,32567,784.3,86.7,26.0,Wheat,63.6,270.31,4844.7,90.47,3431.3,69.2,114.4,60.3,26.3
Telangana - Urban District 68,36405,885.9,84.4,15.2,Maize,37.5,253.52,3750.7,130.76,781.7,64.2,99.9,44.2,4.5
Uttar Pradesh - Hills District 69,30201,592.1,40.3,19.0,Pulses,32.0,6.4,1685.0,19.74,909.2,85.4,114.6,52.9,1.8
Gujarat - East District 70,20599,659.1,39.2,21.4,Maize,42.0,187.84,4618.1,63.65,845.9,81.0,124.9,25.2,15.5
Punjab - Valley District 71,50904,1172.1,89.5,27.1,Rice,80.7,577.81,8280.3,185.32,3254.6,56.9,119.5,63.2,6.6
Uttar Pradesh - Plateau District 72,6866,937.4,46.2,22.0,Wheat,30.0,104.14,3507.0,42.13,1634.4,58.0,87.4,79.5,56.9
Uttarakhand - North District 73,7328,871.8,70.4,25.8,Wheat,30.0,151.77,3149.8,51.72,1490.9,70.2,113.7,56.1,46.8
Manipur - Urban District 74,11408,988.5,81.9,31.4,Rice,30.0,171.09,3465.7,56.62,1256.5,58.1,107.9,42.1,37.4
Himachal Pradesh - East District 75,53152,1300.8,59.9,30.6,Rice,88.6,670.87,11540.9,235.46,4024.5,44.0,120.0,50.5,0.2
Puducherry - Plains District 76,57743,1637.5,64.8,27.7,Wheat,113.9,635.8,12123.0,204.32,5217.9,36.1,122.3,60.8,0.0
Madhya Pradesh - Plains District 77,24997,756.6,61.2,27.6,Rice,48.2,186.22,6424.1,95.35,2067.0,75.1,101.8,46.7,20.0
Uttarakhand - West District 78,40866,982.0,56.6,27.8,Maize,80.9,507.62,9123.3,205.82,1643.1,62.0,108.9,47.2,0.8
Manipur - North District 79,23100,773.6,50.5,31.8,Maize,39.4,185.72,4238.2,104.82,845.1,82.8,106.3,45.4,18.1
Goa - Central District 80,71860,504.7,22.2,26.5,Rice,148.6,310.65,23044.2,262.76,6516.6,73.5,90.0,58.9,0.0
Maharashtra - Coastal District 81,16521,1395.0,32.9,29.3,Wheat,33.1,219.31,4092.7,55.77,1752.2,43.0,101.3,58.1,1.0
Kerala - Urban District 82,26581,1440.6,65.7,29.4,Maize,40.5,294.39,4045.3,127.09,843.4,49.4,97.5,60.1,35.6
Chhattisgarh - East District 83,20159,925.2,58.5,25.0,Maize,30.0,212.11,3275.3,94.8,621.5,76.9,104.5,33.8,27.3
Himachal Pradesh - Hills District 84,13931,1115.2,71.7,26.0,Wheat,30.0,180.4,2478.2,44.2,1563.5,60.4,96.4,58.0,26.8
Haryana - Coastal District 85,94718,1037.9,65.7,24.2,Wheat,114.1,484.3,10819.1,132.76,5665.7,55.1,107.2,42.6,0.0
West Bengal - Urban District 86,119143,328.2,46.9,25.9,Rice,166.5,462.23,23103.4,204.33,6983.9,94.2,103.9,72.3,0.0
